classes	fitness	bias_r	bias_z	bias_h	weight_xr	weight_xz	weight_xh	weight_hr	weight_hz	weight_hh	bias_rw	conn0	conn1	conn2
PP	1.0	1.37953	1.28459	-1.31854	0.66806	1.08181	1.14685	1.29816	-1.65224	-1.76715	2.4208	4.51276	3.97568	-5.0417
PP	1.0	1.37953	1.28459	-1.31854	0.5293	1.08832	1.14685	1.29816	-1.65224	-1.97581	2.4208	4.48014	3.97568	-5.0417
PP	1.0	1.8113	1.28459	-1.31854	0.66806	1.08832	1.14685	1.29816	-1.65224	-1.76715	2.4208	4.51276	3.97568	-5.0417
PP	1.0	1.37953	1.28459	-1.31854	0.66806	1.08832	1.14685	1.29816	-1.65224	-1.76715	2.4208	4.51276	3.97568	-5.0417
PP	1.0	1.13811	1.28459	-1.31854	0.56894	1.08181	1.14685	1.52085	-1.86373	-2.05712	2.4208	4.51276	3.97568	-5.02319
PP	1.0	1.37953	1.28459	-1.31854	0.7926	1.1426	1.13401	1.28932	-1.33244	-2.05712	2.4208	4.51276	4.15302	-4.97156
PP	1.0	1.37953	1.28459	-1.31854	0.89758	1.1426	1.14685	1.28932	-1.30978	-2.05712	2.4208	4.51276	4.15302	-4.97156
PP	1.0	1.13811	1.28459	-1.31854	0.56894	1.08326	1.14685	1.60572	-1.59662	-2.05712	2.4208	4.51276	3.97568	-5.02319
PP	1.0	1.13811	1.28459	-1.31854	0.71099	1.08843	1.14685	1.52085	-1.91969	-2.05712	2.4208	4.51276	3.97568	-5.02319
PP	1.0	1.37953	1.28459	-1.31854	0.87718	1.1426	1.14685	-1.78996	-1.30978	-2.05712	2.4208	4.51276	4.15302	-4.97156
PP	1.0	0.93603	1.28459	-1.31854	0.87718	1.1426	1.14685	1.28932	-1.26127	-2.05712	2.4208	4.49408	4.15302	-4.97156
PP	1.0	1.37953	1.28459	-1.31854	0.87718	1.09251	1.14685	1.28932	-1.30978	-2.05712	2.4208	4.51276	4.15302	-4.97156
PP	1.0	1.37953	1.28459	-1.31854	1.44042	1.08832	1.14685	1.29816	-1.65224	-1.81729	2.4208	4.51276	3.97568	-5.0417
PP	1.0	1.13811	1.28459	-1.31854	0.97803	1.18645	1.14685	1.52085	-1.59662	-2.05712	2.4208	4.51276	3.97568	-5.02157
